,cement,slag,flyash,water,superplasticizer,coarseaggregate,fineaggregate,age,csMPa
0,277.0,0.0,0.0,191.0,0.0,968.0,856.0,28,25.97
1,359.0,19.0,141.0,154.0,10.9,942.0,801.0,3,25.12
2,272.8,181.9,0.0,185.7,0.0,1012.4,714.3,28,31.38
3,366.0,187.0,0.0,191.0,7.0,824.0,757.0,28,65.91
4,212.6,0.0,100.4,159.4,10.4,1003.8,903.8,3,13.33
5,190.3,0.0,125.2,166.6,9.9,1079.0,798.9,56,31.72
6,236.0,0.0,0.0,194.0,0.0,968.0,885.0,28,18.42
7,387.0,20.0,94.0,157.0,14.3,938.0,845.0,7,36.84
8,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,1,12.64
9,287.0,121.0,94.0,188.0,9.0,904.0,696.0,28,41.94
10,249.1,0.0,98.8,158.1,12.8,987.8,889.0,14,28.68
11,339.0,0.0,0.0,197.0,0.0,968.0,781.0,90,35.17
12,212.0,0.0,124.8,159.0,7.8,1085.4,799.5,56,45.08
13,251.8,0.0,99.9,146.1,12.4,1006.0,899.8,3,21.02
14,446.0,24.0,79.0,162.0,11.6,967.0,712.0,56,55.25
15,190.3,0.0,125.2,161.9,9.9,1088.1,802.6,28,28.47
16,166.1,0.0,163.3,176.5,4.5,1058.6,780.1,100,33.54
17,212.1,0.0,121.6,180.3,5.7,1057.6,779.3,14,20.92
18,166.8,250.2,0.0,203.5,0.0,975.6,692.6,7,15.75
19,141.3,212.0,0.0,203.5,0.0,971.8,748.5,7,10.39
20,310.0,143.0,0.0,168.0,10.0,914.0,804.0,28,45.3
21,229.7,0.0,118.2,195.2,6.1,1028.1,757.6,56,31.35
22,339.0,0.0,0.0,185.0,0.0,1069.0,754.0,7,21.16
23,158.4,0.0,194.9,219.7,11.0,897.7,712.9,28,8.54
24,288.0,192.0,0.0,192.0,0.0,932.0,717.8,3,16.11
25,277.1,0.0,97.4,160.6,11.8,973.9,875.6,28,48.28
26,380.0,95.0,0.0,228.0,0.0,932.0,594.0,180,40.76
27,480.0,0.0,0.0,192.0,0.0,936.2,712.2,7,34.57
28,305.3,203.5,0.0,203.5,0.0,965.4,631.0,7,25.89
29,296.0,0.0,0.0,192.0,0.0,1085.0,765.0,90,29.39
30,475.0,0.0,0.0,228.0,0.0,932.0,594.0,180,42.62
31,446.0,24.0,79.0,162.0,10.3,967.0,712.0,56,54.77
32,135.7,203.5,0.0,185.7,0.0,1076.2,759.3,28,18.2
33,295.7,0.0,95.6,171.5,8.9,955.1,859.2,3,22.95
34,108.3,162.4,0.0,203.5,0.0,938.2,849.0,7,7.72
35,150.0,236.8,0.0,173.8,11.9,1069.3,674.8,28,37.43
36,313.8,0.0,112.6,169.9,10.1,925.3,782.9,28,38.46
37,165.0,128.5,132.1,175.1,8.1,1005.8,746.6,100,55.02
38,160.0,188.0,146.0,203.0,11.0,829.0,710.0,28,32.84
39,192.0,288.0,0.0,192.0,0.0,929.8,716.1,28,39.32
40,362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.3
41,159.1,186.7,0.0,175.6,11.3,989.6,788.9,28,32.77
42,362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3
43,122.6,183.9,0.0,203.5,0.0,958.2,800.1,28,24.29
44,304.0,76.0,0.0,228.0,0.0,932.0,670.0,270,54.38
45,277.1,0.0,97.4,160.6,11.8,973.9,875.6,3,23.14
46,218.9,0.0,124.1,158.5,11.3,1078.7,794.9,56,37.27
47,295.0,0.0,0.0,185.0,0.0,1069.0,769.0,28,25.18
48,359.0,19.0,141.0,154.0,10.9,942.0,801.0,56,68.75
49,157.0,236.0,0.0,192.0,0.0,935.4,781.2,3,9.69
50,331.0,0.0,0.0,192.0,0.0,978.0,825.0,90,37.23
51,323.7,282.8,0.0,183.8,10.3,942.7,659.9,7,49.8
52,382.0,0.0,0.0,186.0,0.0,1047.0,739.0,28,37.42
